disease,symptoms,description,precautions,severity
Hypothyroidism,"fatigue, weight gain, cold intolerance, dry skin, hair thinning, depression","A condition where the thyroid gland doesn't produce enough thyroid hormone.","take prescribed thyroid medication consistently, regular thyroid function tests, maintain balanced diet",Moderate
Hyperthyroidism,"weight loss, rapid heartbeat, sweating, nervousness, tremors, heat intolerance","A condition where the thyroid gland produces excess thyroid hormone.","follow prescribed treatment plan, avoid excess iodine, manage stress, regular monitoring with doctor",Moderate
Generalized Anxiety Disorder,"excessive worry, restlessness, muscle tension, difficulty concentrating, sleep disturbance, irritability","A mental health condition involving persistent and excessive worry about various aspects of life.","practice deep breathing and grounding techniques, maintain regular sleep schedule, limit caffeine, consider therapy (CBT)",Moderate
Depression,"persistent sadness, loss of interest in activities, fatigue, sleep changes, appetite changes, difficulty concentrating","A mental health condition causing persistent feelings of sadness and loss of interest.","maintain daily routine, stay socially connected, gentle physical activity, seek professional therapy, reach out to support helplines if severe",Moderate
Insomnia,"difficulty falling asleep, frequent waking, waking too early, daytime fatigue, irritability","A sleep disorder characterized by persistent trouble falling or staying asleep.","maintain consistent sleep schedule, avoid screens before bed, limit caffeine and naps, practice relaxation techniques",Mild
Lower Back Pain,"dull or sharp ache in lower back, stiffness, muscle spasm, pain radiating to legs","A common musculoskeletal complaint often from strain, poor posture, or underlying spinal issues.","apply heat or ice, gentle stretching, maintain good posture, avoid heavy lifting, consult doctor if pain radiates down legs",Mild
Osteoarthritis,"joint pain, stiffness especially in morning, swelling, reduced range of motion, grating sensation","A degenerative joint condition caused by the breakdown of cartilage over time.","stay active with low-impact exercise, maintain healthy weight, use supportive footwear, consider physical therapy",Moderate
Dengue Fever,"high fever, severe headache, pain behind eyes, joint and muscle pain, rash, easy bruising","A mosquito-borne viral infection common in tropical regions, can range from mild to severe.","rest and hydrate well, monitor for warning signs (bleeding, severe abdominal pain), avoid aspirin/ibuprofen, seek medical care promptly",Severe
Typhoid Fever,"prolonged high fever, weakness, stomach pain, headache, loss of appetite, rash","A bacterial infection spread through contaminated food or water.","seek medical treatment promptly, complete full antibiotic course, stay hydrated, eat easily digestible food, rest",Severe
Chickenpox,"itchy rash with blisters, fever, fatigue, loss of appetite, headache","A highly contagious viral infection causing an itchy, blister-like rash.","avoid scratching, keep nails trimmed, use calamine lotion, isolate to prevent spreading, stay hydrated",Moderate
Malaria,"cyclical fever with chills, sweating, headache, muscle pain, fatigue, nausea","A mosquito-borne parasitic disease that can become severe without prompt treatment.","seek immediate medical testing and treatment, complete full antimalarial course, use mosquito protection, rest and hydrate",Severe
